"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"IGLV1-47",802.497082895265,2.49304413464578,0.299010066073156,8.33765955570146,7.57753647529395e-17,2.49380576306267e-16,"up"
"AL121999.1",3.31097310782689,-2.11553991033015,0.253734959614595,-8.33759728475533,7.58152679392906e-17,2.49486642923211e-16,"down"
"AC130462.2",2.59729873285276,2.30721407515871,0.276734211692771,8.33729252717106,7.6010855504364e-17,2.50104949553782e-16,"up"
"AL132642.1",4.85160271280683,2.15555254297638,0.258551801158622,8.33702388966897,7.61836744772398e-17,2.5057214423114e-16,"up"
"MROH9",2.03833589884539,2.66324369571772,0.319476467614754,8.3362750176931,7.6667484651714e-17,2.52112407297448e-16,"up"
"SLC35G3",3.26498315972486,3.56142295171943,0.427254045508169,8.33560966633688,7.70998773491637e-17,2.53508638893897e-16,"up"
"TPSG1",179.719359942741,2.39838174860059,0.28773136461279,8.33548943066452,7.71782712162934e-17,2.53715079277023e-16,"up"
"RNU6-1223P",2.68357564530697,2.32533107266143,0.279116922533973,8.33102862968975,8.01429452769682e-17,2.63327977360922e-16,"up"
"AC122688.4",2.11162666310956,3.61019988991101,0.433384258148294,8.33025155398166,8.06707584464409e-17,2.65008658683847e-16,"up"
"TMPRSS11A",2.53537038182309,3.21389209283832,0.385827398837701,8.32987004686583,8.09311427135724e-17,2.65783464842461e-16,"up"
