"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"AC092306.1",-3.13128446299346,-4.39225105579433,-20.2966258524101,3.53364951812218e-70,1.03658874048022e-68,149.062256317785,"down"
"AC126177.5",-3.37975186454454,-4.53751754781187,-20.2697369566054,4.88975534263461e-70,1.42970687291951e-68,148.73809501459,"down"
"ADRB1",-3.21108782588351,-1.71632647141949,-20.2726896622252,4.71843981068312e-70,1.38263178365067e-68,148.682839248808,"down"
"NAP1L2",-3.21758514387977,1.5776990656646,-20.2714737153865,4.78825024534014e-70,1.40155639277358e-68,148.389078408284,"down"
"SIGLEC8",5.67462543789189,2.04298686561273,20.2357578929083,7.37051267882874e-70,2.14802376026909e-68,148.336092057133,"up"
"RELT",2.19953888650683,2.31827481174697,20.2278522848484,8.10872229030225e-70,2.36059785067952e-68,148.146994690872,"up"
"COL4A4",-2.51559855890175,4.64919017223142,-20.2657530841462,5.13079035854437e-70,1.49854848685503e-68,148.123810995423,"down"
"AL160286.3",-3.23220606705283,-5.05621101506315,-20.2021515394029,1.10585671660282e-69,3.20889938155356e-68,147.936414411884,"down"
"AC011586.2",-2.86296609202866,-4.53555751353937,-20.1993856452027,1.1434001828218e-69,3.31425358938575e-68,147.899154258769,"down"
"AC091152.4",-2.10023029215191,-2.68647107076507,-20.1973996734509,1.1711402526281e-69,3.39099486538495e-68,147.844104017405,"down"
"GABRD",5.82814840770754,3.07291589792216,20.1888139092291,1.29901474936521e-69,3.74910478578901e-68,147.74640893422,"up"
"ADH1B",-4.34666424853946,3.03174165631976,-20.2266907654542,8.2232377325033e-70,2.39133893800302e-68,147.701535649646,"down"
"RBM11",-4.13945633073687,-2.24752277662808,-20.1910480413532,1.26445527402617e-69,3.65329469905062e-68,147.691887978031,"down"
"TRIM2",-2.17324686317671,5.65684128029803,-20.2190015395161,9.0231796984738e-70,2.62112127925763e-68,147.525936767777,"down"
"TRNP1",-3.24132314463437,1.54310986209568,-20.1950172470465,1.20530666558704e-69,3.48615774732683e-68,147.471638688437,"down"
"AC091912.3",-2.95256799868008,-4.4549841588498,-20.1579692958188,1.88480652885312e-69,5.41644508591745e-68,147.397955134557,"down"
"AC126177.6",-3.19767043174457,-4.82376692703601,-20.1518900038276,2.02825269552032e-69,5.82243161373564e-68,147.329203202001,"down"
"ADAMTS16",-3.30646527366344,1.14614728947297,-20.1743780228916,1.5462386677172e-69,4.45303449611532e-68,147.250871173631,"down"
"PNMT",-3.7424947882091,-3.55619222928577,-20.1341855203764,2.5112072828592e-69,7.19342838333556e-68,147.077443204298,"down"
"PDYN-AS1",-3.02761206996084,-4.33866081628076,-20.1280792149931,2.7031628589505e-69,7.7350269556223e-68,147.034825241491,"down"
"PROZ",-3.97288623150599,-2.46140750602414,-20.1141126095574,3.19914079837951e-69,9.14449499852361e-68,146.779582792836,"down"
"GDNF",-3.72422965720216,-2.92144879196693,-20.0845158949645,4.57127522447577e-69,1.30249767607486e-67,146.456287704064,"down"
"PART1",-4.57201609747926,-3.31104710051855,-20.0773266872702,4.98519417661798e-69,1.41892809196902e-67,146.361249804315,"down"
"DIRAS3",-2.46488879184109,0.956692736294905,-20.0574425292029,6.33559685124191e-69,1.8013788205249e-67,145.928475575133,"down"
"AL022069.2",-2.58387763481053,-2.64568459678231,-20.0054897970696,1.18493986787307e-68,3.35486882126851e-67,145.525987265089,"down"
"AL355499.1",-3.01691754470318,-3.85516366511947,-19.9947169394025,1.3491545183926e-68,3.81175247072101e-67,145.422179363127,"down"
"KDF1",-2.80172884890652,1.62442717260765,-20.0223059147197,9.67608491596055e-69,2.74244385588514e-67,145.412203916783,"down"
"AC084759.3",-4.80215705097582,-2.39241316598652,-19.9654487884972,1.91940775839301e-68,5.40012180671914e-67,144.959605596972,"down"
"LINC02611",2.72668012483173,0.571154634244424,19.9560937957444,2.14830069558758e-68,6.03776082286102e-67,144.95342693998,"up"
"SLC13A3",-5.26774324202211,2.01023503089431,-19.9864235344546,1.49090539963541e-68,4.20338123817295e-67,144.845542161696,"down"
"ILDR1",-2.55760937769825,2.8359790645531,-19.9788230286954,1.63384306074434e-68,4.60153362864256e-67,144.789558158824,"down"
"KIAA1549L",-2.9875710601156,0.0695823681169756,-19.9468409846806,2.40150768465926e-68,6.73527448128495e-67,144.650541465991,"down"
"AC018541.1",-4.27579290778164,-3.23779917731354,-19.9273773597983,3.03568843832764e-68,8.48726573602092e-67,144.565103717459,"down"
"PWRN1",-3.71282009242704,-2.84066465315122,-19.9214050949532,3.26198188563536e-68,9.11044357475577e-67,144.495003987009,"down"
"DARS-AS1",3.0903979762651,2.04256008487228,19.9153511710939,3.50857616640988e-68,9.78896401392109e-67,144.428630806175,"up"
"BTG2",-2.08905271419932,7.15197045509832,-19.9329274864974,2.83947599310734e-68,7.94697602580312e-67,144.038756727045,"down"
"FAM184B",-2.24462567450341,-0.946990052520666,-19.8712299651943,5.96669714577801e-68,1.65438556228128e-66,143.854062319068,"down"
"SAMD12",-2.35894469665777,3.22574666710196,-19.8902711250136,4.7448937154735e-68,1.32245416111513e-66,143.701709414289,"down"
"STC2",4.91783729611342,6.39180975693823,19.8592719961676,6.88994020546191e-68,1.90839955360377e-66,143.589678771911,"up"
"NNMT",4.6239829447752,8.69405802945026,19.8747633879946,5.7183414289105e-68,1.58716532496841e-66,143.510135773032,"up"
"ABAT",-2.65631109464658,4.60441738994908,-19.8786713312522,5.45567306647501e-68,1.51582908039718e-66,143.461943343016,"down"
"CHD5",-3.50867223897287,-2.1825402946289,-19.8282897600302,1.00014904842095e-67,2.75884735455376e-66,143.35302997023,"down"
"GPC5-AS1",-3.19528705812925,-5.06683768660265,-19.7784918376965,1.82010801831864e-67,5.01034252434901e-66,142.854281844223,"down"
"AL354743.1",-2.8188522102242,-4.73428824512624,-19.7573657550674,2.34623461526808e-67,6.4256631771775e-66,142.600199574031,"down"
"IL11",-3.77423092950651,-2.97228733338921,-19.7562816828186,2.37700138359988e-67,6.50328174459999e-66,142.519260148988,"down"
"MGAT4C",-3.36304230926214,-3.27160908110634,-19.7424665617923,2.80625883835179e-67,7.65426367994793e-66,142.374416433056,"down"
"DLGAP2",-3.01425001796714,-1.9534969510208,-19.7237438040017,3.51415672498009e-67,9.56564163554987e-66,142.105544197711,"down"
"CADM2",-3.5949727259993,-3.76811481407595,-19.7166160745779,3.82831586696344e-67,1.03996762943287e-65,142.075172606713,"down"
"PPM1E",-2.91418052489506,-0.325164378596535,-19.7214371709191,3.61289676432776e-67,9.82444097821054e-66,141.980789741714,"down"
"SIM1",-5.23037984316272,1.82826500491061,-19.7410180687345,2.85552853820492e-67,7.7807348746291e-66,141.909177987739,"down"
